date_time,Oemau_maxtempC,Oemau_mintempC,Oemau_totalSnow_cm,Oemau_sunHour,Oemau_uvIndex,Oemau_uvIndex,Oemau_moon_illumination,Oemau_moonrise,Oemau_moonset,Oemau_sunrise,Oemau_sunset,Oemau_DewPointC,Oemau_FeelsLikeC,Oemau_HeatIndexC,Oemau_WindChillC,Oemau_WindGustKmph,Oemau_cloudcover,Oemau_humidity,Oemau_precipMM,Oemau_pressure,Oemau_tempC,Oemau_visibility,Oemau_winddirDegree,Oemau_windspeedKmph
2019-12-07 00:00:00,34,26,0.0,12.8,8,1,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,23,30,30,27,5,3,76,0.0,1009,27,10,160,3
2019-12-07 03:00:00,34,26,0.0,12.8,8,1,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,22,29,29,26,4,2,78,0.0,1009,26,10,273,2
2019-12-07 06:00:00,34,26,0.0,12.8,8,7,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,22,31,31,28,5,3,71,0.0,1010,28,10,211,3
2019-12-07 09:00:00,34,26,0.0,12.8,8,8,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,22,37,37,33,5,1,54,0.0,1010,33,10,231,5
2019-12-07 12:00:00,34,26,0.0,12.8,8,8,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,23,39,39,33,10,2,55,0.0,1009,33,10,211,9
2019-12-07 15:00:00,34,26,0.0,12.8,8,8,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,24,38,38,32,16,1,63,0.0,1008,32,10,188,14
2019-12-07 18:00:00,34,26,0.0,12.8,8,1,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,25,36,36,30,17,7,74,0.0,1009,30,10,182,13
2019-12-07 21:00:00,34,26,0.0,12.8,8,1,70,01:59 PM,01:36 AM,05:18 AM,06:02 PM,25,33,33,28,10,18,83,0.0,1010,28,10,199,6
2019-12-08 00:00:00,33,26,0.0,12.9,8,1,77,02:44 PM,02:13 AM,05:18 AM,06:03 PM,24,31,31,27,3,19,86,0.0,1009,27,10,228,1
2019-12-08 03:00:00,33,26,0.0,12.9,8,1,77,02:44 PM,02:13 AM,05:18 AM,06:03 PM,24,30,30,26,2,35,88,0.0,1009,26,10,264,1
2019-12-08 06:00:00,33,26,0.0,12.9,8,7,77,02:44 PM,02:13 AM,05:18 AM,06:03 PM,24,32,32,28,2,30,80,0.0,1010,28,10,284,1
2019-12-08 09:00:00,33,26,0.0,12.9,8,8,77,02:44 PM,02:13 AM,05:18 AM,06:03 PM,24,38,38,32,5,16,62,0.0,1011,32,10,265,4
2019-12-08 12:00:00,33,26,0.0,12.9,8,8,77,02:44 PM,02:13 AM,05:18 AM,06:03 PM,24,39,39,33,10,2,60,0.0,1009,33,10,285,9
2019-12-08 15:00:00,33,26,0.0,12.9,8,8,77,02:44 PM,02:13 AM,05:18 AM,06:03 PM,24,38,38,32,12,4,66,0.0,1008,32,10,254,10
